province_code,province_name,district_code,district_name,region
1,Thành phố Hà Nội,1,Quận Ba Đình,Miền Bắc
1,Thành phố Hà Nội,2,Quận Hoàn Kiếm,Miền Bắc
1,Thành phố Hà Nội,3,Quận Tây Hồ,Miền Bắc
1,Thành phố Hà Nội,4,Quận Long Biên,Miền Bắc
1,Thành phố Hà Nội,5,Quận Cầu Giấy,Miền Bắc
1,Thành phố Hà Nội,6,Quận Đống Đa,Miền Bắc
1,Thành phố Hà Nội,7,Quận Hai Bà Trưng,Miền Bắc
1,Thành phố Hà Nội,8,Quận Hoàng Mai,Miền Bắc
1,Thành phố Hà Nội,9,Quận Thanh Xuân,Miền Bắc
1,Thành phố Hà Nội,16,Huyện Sóc Sơn,Miền Bắc
1,Thành phố Hà Nội,17,Huyện Đông Anh,Miền Bắc
1,Thành phố Hà Nội,18,Huyện Gia Lâm,Miền Bắc
1,Thành phố Hà Nội,19,Quận Nam Từ Liêm,Miền Bắc
1,Thành phố Hà Nội,20,Huyện Thanh Trì,Miền Bắc
1,Thành phố Hà Nội,21,Quận Bắc Từ Liêm,Miền Bắc
1,Thành phố Hà Nội,250,Huyện Mê Linh,Miền Bắc
1,Thành phố Hà Nội,268,Quận Hà Đông,Miền Bắc
1,Thành phố Hà Nội,269,Thị xã Sơn Tây,Miền Bắc
1,Thành phố Hà Nội,271,Huyện Ba Vì,Miền Bắc
1,Thành phố Hà Nội,272,Huyện Phúc Thọ,Miền Bắc
1,Thành phố Hà Nội,273,Huyện Đan Phượng,Miền Bắc
1,Thành phố Hà Nội,274,Huyện Hoài Đức,Miền Bắc
1,Thành phố Hà Nội,275,Huyện Quốc Oai,Miền Bắc
1,Thành phố Hà Nội,276,Huyện Thạch Thất,Miền Bắc
1,Thành phố Hà Nội,277,Huyện Chương Mỹ,Miền Bắc
1,Thành phố Hà Nội,278,Huyện Thanh Oai,Miền Bắc
1,Thành phố Hà Nội,279,Huyện Thường Tín,Miền Bắc
1,Thành phố Hà Nội,280,Huyện Phú Xuyên,Miền Bắc
1,Thành phố Hà Nội,281,Huyện Ứng Hòa,Miền Bắc
1,Thành phố Hà Nội,282,Huyện Mỹ Đức,Miền Bắc
2,Tỉnh Hà Giang,24,Thành phố Hà Giang,Miền Bắc
2,Tỉnh Hà Giang,26,Huyện Đồng Văn,Miền Bắc
2,Tỉnh Hà Giang,27,Huyện Mèo Vạc,Miền Bắc
2,Tỉnh Hà Giang,28,Huyện Yên Minh,Miền Bắc
2,Tỉnh Hà Giang,29,Huyện Quản Bạ,Miền Bắc
2,Tỉnh Hà Giang,30,Huyện Vị Xuyên,Miền Bắc
