========================================================================================================================
DIM_LOCATION - DANH SÁCH ĐẦY ĐỦ TẤT CẢ QUẬN/HUYỆN VIỆT NAM
Exported: 2025-11-01 11:24:14
Total Districts: 691
========================================================================================================================

TỔNG HỢP THEO TỈNH/THÀNH:
------------------------------------------------------------------------------------------------------------------------
[  1] Thành phố Hà Nội               | Miền Bắc        | 30 quận/huyện
[  2] Tỉnh Hà Giang                  | Miền Bắc        | 11 quận/huyện
[  4] Tỉnh Cao Bằng                  | Miền Bắc        | 10 quận/huyện
[  6] Tỉnh Bắc Kạn                   | Miền Bắc        |  8 quận/huyện
[  8] Tỉnh Tuyên Quang               | Miền Bắc        |  7 quận/huyện
[ 10] Tỉnh Lào Cai                   | Miền Bắc        |  9 quận/huyện
[ 11] Tỉnh Điện Biên                 | Miền Bắc        | 10 quận/huyện
[ 12] Tỉnh Lai Châu                  | Miền Bắc        |  8 quận/huyện
[ 14] Tỉnh Sơn La                    | Miền Bắc        | 12 quận/huyện
[ 15] Tỉnh Yên Bái                   | Miền Bắc        |  9 quận/huyện
[ 17] Tỉnh Hoà Bình                  | Miền Bắc        | 10 quận/huyện
[ 19] Tỉnh Thái Nguyên               | Miền Bắc        |  9 quận/huyện
[ 20] Tỉnh Lạng Sơn                  | Miền Bắc        | 11 quận/huyện
[ 22] Tỉnh Quảng Ninh                | Miền Bắc        | 13 quận/huyện
[ 24] Tỉnh Bắc Giang                 | Miền Bắc        | 10 quận/huyện
[ 25] Tỉnh Phú Thọ                   | Miền Bắc        | 13 quận/huyện
[ 26] Tỉnh Vĩnh Phúc                 | Miền Bắc        |  9 quận/huyện
[ 27] Tỉnh Bắc Ninh                  | Miền Bắc        |  8 quận/huyện
[ 30] Tỉnh Hải Dương                 | Miền Bắc        | 12 quận/huyện
[ 31] Thành phố Hải Phòng            | Không xác định  | 14 quận/huyện
[ 33] Tỉnh Hưng Yên                  | Miền Bắc        | 10 quận/huyện
[ 34] Tỉnh Thái Bình                 | Miền Bắc        |  8 quận/huyện
[ 35] Tỉnh Hà Nam                    | Miền Bắc        |  6 quận/huyện
[ 36] Tỉnh Nam Định                  | Miền Bắc        |  9 quận/huyện
[ 37] Tỉnh Ninh Bình                 | Không xác định  |  7 quận/huyện
[ 38] Tỉnh Thanh Hóa                 | Miền Trung      | 26 quận/huyện
[ 40] Tỉnh Nghệ An                   | Miền Trung      | 20 quận/huyện
[ 42] Tỉnh Hà Tĩnh                   | Miền Trung      | 12 quận/huyện
[ 44] Tỉnh Quảng Bình                | Miền Trung      |  8 quận/huyện
[ 45] Tỉnh Quảng Trị                 | Miền Trung      |  9 quận/huyện
[ 46] Thành phố Huế                  | Miền Trung      |  9 quận/huyện
[ 48] Thành phố Đà Nẵng              | Miền Trung      |  7 quận/huyện
[ 49] Tỉnh Quảng Nam                 | Miền Trung      | 17 quận/huyện
[ 51] Tỉnh Quảng Ngãi                | Miền Trung      | 12 quận/huyện
[ 52] Tỉnh Bình Định                 | Miền Trung      | 11 quận/huyện
[ 54] Tỉnh Phú Yên                   | Miền Trung      |  9 quận/huyện
[ 56] Tỉnh Khánh Hòa                 | Miền Trung      |  9 quận/huyện
[ 58] Tỉnh Ninh Thuận                | Miền Trung      |  7 quận/huyện
[ 60] Tỉnh Bình Thuận                | Miền Trung      | 10 quận/huyện
[ 62] Tỉnh Kon Tum                   | Miền Trung      | 10 quận/huyện
[ 64] Tỉnh Gia Lai                   | Miền Nam        | 17 quận/huyện
[ 66] Tỉnh Đắk Lắk                   | Miền Nam        | 15 quận/huyện
[ 67] Tỉnh Đắk Nông                  | Miền Nam        |  8 quận/huyện
[ 68] Tỉnh Lâm Đồng                  | Miền Nam        | 10 quận/huyện
[ 70] Tỉnh Bình Phước                | Miền Nam        | 11 quận/huyện
[ 72] Tỉnh Tây Ninh                  | Miền Nam        |  9 quận/huyện
[ 74] Tỉnh Bình Dương                | Miền Nam        |  9 quận/huyện
[ 75] Tỉnh Đồng Nai                  | Miền Nam        | 11 quận/huyện
[ 77] Tỉnh Bà Rịa - Vũng Tàu         | Miền Nam        |  6 quận/huyện
[ 79] Thành phố Hồ Chí Minh          | Miền Nam        | 22 quận/huyện
[ 80] Tỉnh Long An                   | Miền Nam        | 15 quận/huyện
[ 82] Tỉnh Tiền Giang                | Miền Nam        | 11 quận/huyện
[ 83] Tỉnh Bến Tre                   | Miền Nam        |  9 quận/huyện
[ 84] Tỉnh Trà Vinh                  | Miền Nam        |  9 quận/huyện
[ 86] Tỉnh Vĩnh Long                 | Miền Nam        |  8 quận/huyện
[ 87] Tỉnh Đồng Tháp                 | Miền Nam        | 12 quận/huyện
[ 89] Tỉnh An Giang                  | Miền Nam        | 11 quận/huyện
[ 91] Tỉnh Kiên Giang                | Miền Nam        | 15 quận/huyện
[ 92] Thành phố Cần Thơ              | Miền Nam        |  9 quận/huyện
[ 93] Tỉnh Hậu Giang                 | Miền Nam        |  8 quận/huyện
[ 94] Tỉnh Sóc Trăng                 | Miền Nam        | 11 quận/huyện
[ 95] Tỉnh Bạc Liêu                  | Miền Nam        |  7 quận/huyện
[ 96] Tỉnh Cà Mau                    | Miền Nam        |  9 quận/huyện

========================================================================================================================

CHI TIẾT TẤT CẢ QUẬN/HUYỆN:
------------------------------------------------------------------------------------------------------------------------
P.Code  Province Name                 D.Code  District Name                      Region         Phone   Type        Urban       Major 
------------------------------------------------------------------------------------------------------------------------
1       Thành phố Hà Nội              1       Quận Ba Đình                       Miền Bắc       24      huyện       Khác        True  
1       Thành phố Hà Nội              2       Quận Hoàn Kiếm                     Miền Bắc       24      huyện       Khác        True  
1       Thành phố Hà Nội              3       Quận Tây Hồ                        Miền Bắc       24      huyện       Khác        True  
1       Thành phố Hà Nội              4       Quận Long Biên                     Miền Bắc       24      huyện       Khác        True  
1       Thành phố Hà Nội              5       Quận Cầu Giấy                      Miền Bắc       24      huyện       Khác        True  
1       Thành phố Hà Nội              6       Quận Đống Đa                       Miền Bắc       24      huyện       Khác        True  
1       Thành phố Hà Nội              7       Quận Hai Bà Trưng                  Miền Bắc       24      huyện       Khác        True  
1       Thành phố Hà Nội              8       Quận Hoàng Mai                     Miền Bắc       24      huyện       Khác        True  
1       Thành phố Hà Nội              9       Quận Thanh Xuân                    Miền Bắc       24      huyện       Khác        True  
1       Thành phố Hà Nội              16      Huyện Sóc Sơn                      Miền Bắc       24      huyện       Khác        True  
1       Thành phố Hà Nội              17      Huyện Đông Anh                     Miền Bắc       24      huyện       Khác        True  
1       Thành phố Hà Nội              18      Huyện Gia Lâm                      Miền Bắc       24      huyện       Khác        True  
1       Thành phố Hà Nội              19      Quận Nam Từ Liêm                   Miền Bắc       24      huyện       Khác        True  
1       Thành phố Hà Nội              20      Huyện Thanh Trì                    Miền Bắc       24      huyện       Khác        True  
1       Thành phố Hà Nội              21      Quận Bắc Từ Liêm                   Miền Bắc       24      huyện       Khác        True  
1       Thành phố Hà Nội              250     Huyện Mê Linh                      Miền Bắc       24      huyện       Khác        True  
1       Thành phố Hà Nội              268     Quận Hà Đông                       Miền Bắc       24      huyện       Khác        True  
1       Thành phố Hà Nội              269     Thị xã Sơn Tây                     Miền Bắc       24      huyện       Khác        True  
1       Thành phố Hà Nội              271     Huyện Ba Vì                        Miền Bắc       24      huyện       Khác        True  
1       Thành phố Hà Nội              272     Huyện Phúc Thọ                     Miền Bắc       24      huyện       Khác        True  
1       Thành phố Hà Nội              273     Huyện Đan Phượng                   Miền Bắc       24      huyện       Khác        True  
1       Thành phố Hà Nội              274     Huyện Hoài Đức                     Miền Bắc       24      huyện       Khác        True  
1       Thành phố Hà Nội              275     Huyện Quốc Oai                     Miền Bắc       24      huyện       Khác        True  
1       Thành phố Hà Nội              276     Huyện Thạch Thất                   Miền Bắc       24      huyện       Khác        True  
1       Thành phố Hà Nội              277     Huyện Chương Mỹ                    Miền Bắc       24      huyện       Khác        True  
1       Thành phố Hà Nội              278     Huyện Thanh Oai                    Miền Bắc       24      huyện       Khác        True  
1       Thành phố Hà Nội              279     Huyện Thường Tín                   Miền Bắc       24      huyện       Khác        True  
1       Thành phố Hà Nội              280     Huyện Phú Xuyên                    Miền Bắc       24      huyện       Khác        True  
1       Thành phố Hà Nội              281     Huyện Ứng Hòa                      Miền Bắc       24      huyện       Khác        True  
1       Thành phố Hà Nội              282     Huyện Mỹ Đức                       Miền Bắc       24      huyện       Khác        True  
2       Tỉnh Hà Giang                 24      Thành phố Hà Giang                 Miền Bắc       219     huyện       Khác        False 
2       Tỉnh Hà Giang                 26      Huyện Đồng Văn                     Miền Bắc       219     huyện       Khác        False 
2       Tỉnh Hà Giang                 27      Huyện Mèo Vạc                      Miền Bắc       219     huyện       Khác        False 
2       Tỉnh Hà Giang                 28      Huyện Yên Minh                     Miền Bắc       219     huyện       Khác        False 
2       Tỉnh Hà Giang                 29      Huyện Quản Bạ                      Miền Bắc       219     huyện       Khác        False 
2       Tỉnh Hà Giang                 30      Huyện Vị Xuyên                     Miền Bắc       219     huyện       Khác        False 
2       Tỉnh Hà Giang                 31      Huyện Bắc Mê                       Miền Bắc       219     huyện       Khác        False 
2       Tỉnh Hà Giang                 32      Huyện Hoàng Su Phì                 Miền Bắc       219     huyện       Khác        False 
2       Tỉnh Hà Giang                 33      Huyện Xín Mần                      Miền Bắc       219     huyện       Khác        False 
2       Tỉnh Hà Giang                 34      Huyện Bắc Quang                    Miền Bắc       219     huyện       Khác        False 
2       Tỉnh Hà Giang                 35      Huyện Quang Bình                   Miền Bắc       219     huyện       Khác        False 
4       Tỉnh Cao Bằng                 40      Thành phố Cao Bằng                 Miền Bắc       206     huyện       Khác        False 
4       Tỉnh Cao Bằng                 42      Huyện Bảo Lâm                      Miền Bắc       206     huyện       Khác        False 
4       Tỉnh Cao Bằng                 43      Huyện Bảo Lạc                      Miền Bắc       206     huyện       Khác        False 
4       Tỉnh Cao Bằng                 45      Huyện Hà Quảng                     Miền Bắc       206     huyện       Khác        False 
4       Tỉnh Cao Bằng                 47      Huyện Trùng Khánh                  Miền Bắc       206     huyện       Khác        False 
4       Tỉnh Cao Bằng                 48      Huyện Hạ Lang                      Miền Bắc       206     huyện       Khác        False 
4       Tỉnh Cao Bằng                 49      Huyện Quảng Hòa                    Miền Bắc       206     huyện       Khác        False 
4       Tỉnh Cao Bằng                 51      Huyện Hoà An                       Miền Bắc       206     huyện       Khác        False 
4       Tỉnh Cao Bằng                 52      Huyện Nguyên Bình                  Miền Bắc       206     huyện       Khác        False 
4       Tỉnh Cao Bằng                 53      Huyện Thạch An                     Miền Bắc       206     huyện       Khác        False 
6       Tỉnh Bắc Kạn                  58      Thành Phố Bắc Kạn                  Miền Bắc       209     huyện       Khác        False 
